"filename", "language", "Python", "HTML", "CSS", "XML", "JavaScript", "pip requirements", "comment", "blank", "total"
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/barber/includes/navbar.html", "HTML", 0, 29, 0, 0, 0, 0, 1, 3, 33
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/barber/schedule.html", "HTML", 0, 31, 0, 0, 0, 0, 2, 6, 39
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/base.html", "HTML", 0, 59, 0, 0, 0, 0, 4, 5, 68
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/home.html", "HTML", 0, 74, 0, 0, 0, 0, 6, 7, 87
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/includes/alerts.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 12
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/includes/navbar.html", "HTML", 0, 42, 0, 0, 0, 0, 1, 4, 47
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/modal.html", "HTML", 0, 74, 0, 0, 0, 0, 11, 8, 93
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/templates/scheduler.html", "HTML", 0, 119, 0, 0, 0, 0, 19, 7, 145
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/urls.py", "Python", 9, 0, 0, 0, 0, 0, 15, 3, 27
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/core/wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/admin.py", "Python", 11, 0, 0, 0, 0, 0, 0, 6, 17
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/0001_initial.py", "Python", 21, 0, 0, 0, 0, 0, 1, 7, 29
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/0002_remove_saloon_barbers.py", "Python", 11, 0, 0, 0, 0, 0, 1, 6, 18
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/0003_remove_saloon_location_saloon_adress_and_more.py", "Python", 21, 0, 0, 0, 0, 0, 1, 6, 28
"/Users/Durval/Developer/Django/Appointment-Scheduler/apps/saloons/migrations/0004_review.py", "Python", 22, 0, 0, 0, 0, 0, 1, 6, 29
